Gene	GO
Zm00001d051093	GO:0005515
Zm00001d024940	GO:0005515
Zm00001d028422	GO:0005515
Zm00001d023435	GO:0005515
Zm00001d003607	GO:0005515
Zm00001d048618	GO:0005515
Zm00001d039214	GO:0005515
Zm00001d019221	GO:0005515
Zm00001d034400	GO:0005515
Zm00001d019513	GO:0005515
Zm00001d003729	GO:0005515
Zm00001d013417	GO:0005515
Zm00001d036970	GO:0005515
Zm00001d010738	GO:0005515
Zm00001d040960	GO:0005515
Zm00001d052307	GO:0005515
Zm00001d012109	GO:0005515
Zm00001d028490	GO:0005515
Zm00001d036573	GO:0005515
Zm00001d038923	GO:0005515
Zm00001d007942	GO:0005515
Zm00001d012048	GO:0005515
Zm00001d053732	GO:0005515
Zm00001d046647	GO:0005515
Zm00001d035933	GO:0005515
Zm00001d040279	GO:0005515
Zm00001d018452	GO:0005515
Zm00001d051807	GO:0005515
Zm00001d033682	GO:0005515
Zm00001d040462	GO:0005515
Zm00001d042362	GO:0005515
Zm00001d017885	GO:0005515
Zm00001d038274	GO:0005515
Zm00001d007445	GO:0005515
Zm00001d052351	GO:0005515
Zm00001d008345	GO:0005515
Zm00001d048245	GO:0005515
Zm00001d021624	GO:0005515
Zm00001d013063	GO:0005515
Zm00001d028915	GO:0005515
Zm00001d026376	GO:0005515
Zm00001d003967	GO:0005515
Zm00001d048898	GO:0005515
Zm00001d018724	GO:0005515
Zm00001d026517	GO:0005515
Zm00001d030229	GO:0005515
Zm00001d024248	GO:0005515
Zm00001d033368	GO:0005515
Zm00001d043667	GO:0005515
Zm00001d014690	GO:0005515
Zm00001d030126	GO:0005515
Zm00001d052965	GO:0005515
Zm00001d042102	GO:0005515
Zm00001d028075	GO:0005515
Zm00001d053232	GO:0005515
Zm00001d014507	GO:0005515
Zm00001d042033	GO:0005515
Zm00001d052072	GO:0005515
Zm00001d027393	GO:0005515
Zm00001d037616	GO:0005515
Zm00001d052892	GO:0005515
Zm00001d018924	GO:0005515
Zm00001d053565	GO:0005515
Zm00001d013251	GO:0005515
Zm00001d044277	GO:0005515
Zm00001d050219	GO:0005515
Zm00001d006507	GO:0005515
Zm00001d037284	GO:0005515
Zm00001d032754	GO:0005515
Zm00001d007934	GO:0005515
Zm00001d023841	GO:0005515
Zm00001d027975	GO:0005515
Zm00001d032116	GO:0005515
Zm00001d043190	GO:0005515
Zm00001d020935	GO:0005515
Zm00001d028989	GO:0005515
Zm00001d048453	GO:0005515
Zm00001d038534	GO:0005515
Zm00001d026582	GO:0005515
Zm00001d025079	GO:0005515
Zm00001d001923	GO:0005515
Zm00001d038206	GO:0005515
Zm00001d002169	GO:0005515
Zm00001d034915	GO:0005515
